@relation 'CAN_traffic (Multi-class)-weka.filters.unsupervised.attribute.Remove-R1-2,10-weka.filters.unsupervised.attribute.Remove-R3'

@attribute Mean numeric
@attribute Var numeric
@attribute Q3 numeric
@attribute IQR numeric
@attribute Skew numeric
@attribute Kurt numeric
@attribute Class {Flooding,Fuzzy,Malfunction}

@data
32.661017,5.227937,35,5,-0.188161,-1.43117,Flooding
65.275862,2.064039,67,3,0.092693,-1.115033,Flooding
32.677966,13.56692,36,7,0.116637,-1.576175,Flooding
32.677966,5.049679,34,3,0.352348,-0.785047,Flooding
32.583333,5.230226,34.25,4.25,-0.215672,-1.331382,Flooding
65.241379,1.689655,66,2,0.535069,-1.119442,Flooding
326.2,10.2,328,4,-0.201805,-1.335928,Flooding
32.694915,23.905319,37,9,0.048009,-1.757672,Flooding
326.2,9.2,328,3,-0.151449,-1.034853,Flooding
65.275862,1.992611,67,3,0.5843,-1.151099,Flooding
326.4,0.3,327,1,0.408248,-1.833333,Flooding
32.644068,5.371128,34,4,0.380402,-0.781639,Flooding
163.090909,21.090909,164,1.5,-0.06121,1.956901,Flooding
32.644068,5.371128,34,4,-0.23985,-0.874129,Flooding
32.661017,5.193454,34,3,-0.131317,-1.133539,Flooding
32.661017,18.193454,36,7,0.15314,-0.946859,Flooding
32.661017,11.227937,35,6,0.081605,-1.542052,Flooding
32.644068,4.543542,34,3,-0.303351,-1.269221,Flooding
32.644068,10.957335,34,4,0.028896,0.194558,Flooding
32.627119,5.858562,34,4,0.038224,-0.607599,Flooding
32.677966,35.015196,36.5,8,0.081158,-1.134216,Flooding
65.275862,1.635468,66,2,0.512536,-1.086333,Flooding
32.661017,10.434833,35,6,0.100999,-1.601975,Flooding
32.627119,3.858562,34,3.5,0.035349,-0.970143,Flooding
32.677966,12.015196,36,6,0.216376,-1.152857,Flooding
32.610169,6.69024,35,5,-0.015779,-1.267526,Flooding
65.241379,1.832512,66,2,0.343386,-1.145763,Flooding
32.661017,12.365868,35,6,0.219813,-1.284836,Flooding
32.677966,3.463472,34,3,-0.380282,-0.918287,Flooding
32.644068,3.853887,34,3,-0.141722,-1.17633,Flooding
65.241379,1.689655,67,3,0.336484,-1.591235,Flooding
327,2.5,328,2,0,-1.3,Flooding
32.677966,23.94623,37,9,0.032762,-1.733787,Flooding
327.2,3.2,328,2,0.84375,-0.921875,Flooding
65.241379,1.832512,66,2,0.607118,-0.940654,Flooding
326.2,0.2,326,0,1.5,0.25,Flooding
32.644068,5.509059,34,4,0.272797,-1.079126,Flooding
163,17.8,164.5,2.5,0.008379,1.573728,Flooding
32.627119,4.237873,34,3,0.008009,-0.744337,Flooding
32.644068,3.543542,34,3,-0.054433,-0.935453,Flooding
32.711864,28.691409,37,10,0.091072,-1.61882,Flooding
32.661017,10.296902,35,5,0.206116,-1.199176,Flooding
32.627119,3.651666,34,3,-0.084768,-0.95945,Flooding
32.627119,10.272355,34,4,-0.17137,-0.102987,Flooding
32.59322,2.348919,34,2,-0.221102,0.377919,Flooding
32.694915,52.732905,40,14,-0.056174,-1.562641,Flooding
65.206897,1.884236,66,2,0.63232,-0.966718,Flooding
32.661017,9.365868,35,5,0.193366,-1.338325,Flooding
32.627119,4.548217,34,4,-0.053508,-1.397353,Flooding
32.661017,12.124489,36,6.5,0.13899,-1.423952,Flooding
32.610169,3.207481,34,3,-0.308589,-0.611515,Flooding
65.241379,1.975369,66,2,0.504544,-0.949063,Flooding
32.559322,9.836937,35,6,0.183363,-1.380276,Flooding
32.644068,3.440094,34,3,-0.237891,-1.449631,Flooding
32.627119,3.962011,34,3.5,-0.202597,-1.426736,Flooding
65.241379,1.546798,66,2,0.552246,-0.935456,Flooding
326.2,3.7,327,1,-1.017952,-0.348064,Flooding
32.616667,24.037006,37,9,0.061393,-1.741782,Flooding
326,3.5,327,1,-0.768361,-0.5,Flooding
65.241379,1.689655,66,2,0.535069,-1.119442,Flooding
326.2,0.7,327,1,-0.343622,-1.153061,Flooding
32.616667,5.223446,34,4,0.341884,-0.951839,Flooding
163.272727,11.018182,164,1.5,-0.250555,1.426339,Flooding
32.627119,5.237873,34,3.5,-0.161164,-0.859901,Flooding
32.627119,4.444769,34,4,-0.123513,-1.168968,Flooding
32.694915,29.077732,38,11,-0.074831,-1.817925,Flooding
32.661017,10.572764,35,5.5,0.145633,-1.316977,Flooding
32.627119,4.272355,34,4,-0.176723,-1.28363,Flooding
32.627119,12.720631,34,4,0.309077,-0.405194,Flooding
32.59322,1.48685,33,1,0.184251,-0.302442,Flooding
32.79661,74.923437,42,16.5,0.033303,-1.55836,Flooding
65.241379,2.046798,67,3,0.609335,-1.168178,Flooding
32.661017,10.503799,35,5.5,0.166446,-1.334515,Flooding
32.711864,3.898305,34,3,-0.095217,-1.161063,Flooding
32.728814,13.235535,36,7,0.179021,-1.344578,Flooding
32.694915,2.215663,34,3,0.217725,-0.541621,Flooding
65.344828,2.305419,67,3,0.519513,-1.32605,Flooding
32.711864,11.243133,35,5,0.349684,-0.999626,Flooding
32.728814,11.338983,35,6,0.250589,-1.347204,Flooding
32.79661,8.957919,35,5,0.365493,0.545876,Flooding
32.694915,4.04325,34,4,-0.114836,-1.202987,Flooding
325.6,36.8,327,5,0.624725,-0.72084,Flooding
32.627119,23.548217,37,9,0.073486,-1.751881,Flooding
325.4,31.8,326,4,0.522217,-0.749763,Flooding
65.37931,1.958128,66,2,0.570749,-0.976155,Flooding
326.6,0.8,327,1,0.84375,-0.921875,Flooding
32.689655,5.937084,34,4,0.453619,-0.686454,Flooding
163.454545,0.672727,164,1,0.150808,-0.387509,Flooding
32.677966,6.049679,34,3.5,-0.184697,-0.926693,Flooding
32.677966,4.56692,34.5,3.5,-0.22651,-1.141767,Flooding
32.779661,23.450614,37,9,-0.066349,-1.775051,Flooding
32.728814,10.683811,35,6,0.198839,-1.222009,Flooding
32.677966,4.877265,34,3,-0.235283,-0.994093,Flooding
32.677966,14.842782,35,5,-0.109879,-0.578495,Flooding
32.694915,5.870836,34,3.5,-0.013047,-0.967469,Flooding
32.745763,83.365283,43,20,0.077763,-1.549768,Flooding
65.37931,1.672414,67,3,0.371915,-1.249046,Flooding
65.344828,1.73399,67,3,0.391347,-1.289466,Flooding
32.694915,4.629456,34,3.5,-0.32222,-0.991539,Flooding
32.694915,13.284629,36,7,0.100877,-1.364613,Flooding
32.661017,1.400351,34,2,0.303217,-1.082422,Flooding
65.344828,2.305419,66,2,0.519513,-0.991991,Flooding
32.694915,22.698422,36,7,-0.519934,-0.510212,Flooding
32.694915,12.353594,35.5,6.5,0.12634,-1.357705,Flooding
32.694915,3.04325,34,3,-0.212169,-0.879257,Flooding
32.694915,6.560491,35,5,-0.339497,-1.029088,Flooding
326.8,7.2,329,4,-0.545139,-1.384838,Flooding
32.672414,22.925892,37,9,0.092101,-1.722814,Flooding
326.6,3.8,328,3,-0.50713,-1.619806,Flooding
65.344828,2.305419,67,3,0.519513,-1.32605,Flooding
326.8,1.7,327,1,1.150049,-0.33391,Flooding
32.694915,5.319112,34,4,0.317577,-0.786603,Flooding
163.454545,0.872727,163.5,0.5,2.066757,3.138021,Flooding
32.677966,4.808299,34,3,-0.197258,-0.41107,Flooding
32.661017,3.986558,34,3,-0.403209,-0.607956,Flooding
32.762712,21.666861,37,9,0.031962,-1.078393,Flooding
32.694915,10.215663,35,6,-0.06499,-1.387019,Flooding
32.661017,3.296902,34,3,-0.462571,-0.880654,Flooding
32.762712,18.666861,35,5,-0.044954,-0.764902,Flooding
32.694915,8.491525,35,5,0.170381,-1.040917,Flooding
32.864407,99.429573,44,22,0.15403,-1.576337,Flooding
65.344828,1.376847,66,2,0.245894,-1.380274,Flooding
65.344828,1.805419,66,2,0.51715,-1.026368,Flooding
32.576271,10.179427,35.5,5.5,-0.303048,-1.397506,Flooding
32.644068,13.302162,36,7,-0.09624,-1.706977,Flooding
32.559322,1.319696,33.5,1.5,0.645096,-0.585862,Flooding
65.172414,1.862069,66,2,0.456073,-1.104408,Flooding
32.627119,20.272355,36,7,-0.432019,-0.135744,Flooding
32.610169,2.241964,34,2.5,-0.214619,-0.604708,Flooding
32.525424,5.770894,34,3,-0.121866,0.688694,Flooding
65.172414,1.933498,66,2,0.741507,-0.907393,Flooding
325.4,0.3,326,1,0.408248,-1.833333,Flooding
32.616667,22.647175,37,9,0.080721,-1.737413,Flooding
325.4,1.3,326,1,0.271545,-1.044379,Flooding
65.172414,1.719212,66,2,0.644186,-1.037243,Flooding
326.2,0.2,326,0,1.5,0.25,Flooding
32.6,5.905085,34,4,0.273864,-1.229463,Flooding
163.090909,0.690909,164,1.5,-0.163006,-1.391274,Flooding
32.525424,3.426067,34,2,-0.270874,0.934133,Flooding
32.508475,3.530099,33.5,2.5,0.466474,0.738894,Flooding
32.779661,100.347165,44,22,-0.045344,-1.59467,Flooding
33.189655,31.524803,36,7,3.071679,15.688126,Flooding
32.525424,3.012274,34,2.5,0.395974,1.002829,Flooding
32.610169,19.517826,36.5,7.5,-0.183437,-0.980278,Flooding
32.542373,9.528346,35,5,0.297608,-1.305929,Flooding
32.915254,145.768556,44,22.5,0.005479,-1.470419,Flooding
65.172414,1.719212,67,3,0.4507,-1.534382,Flooding
32.627119,13.134424,36,7,-0.0485,-1.585291,Flooding
32.711864,9.346581,35,6,-0.180738,-1.507453,Flooding
32.694915,12.457043,36,7,0.1483,-1.393995,Flooding
32.627119,9.341321,33.5,1.5,-0.132086,2.564555,Flooding
65.310345,2.650246,67,3,0.497403,-1.311862,Flooding
32.830508,41.039743,35,6,-0.067821,1.481206,Flooding
32.711864,13.898305,36,7,0.10579,-1.303151,Flooding
32.694915,3.560491,34,3,-0.298478,-1.169038,Flooding
32.644068,4.336645,34,2,0.239226,1.670145,Flooding
326.4,23.3,327,3,0.665636,-0.570954,Flooding
32.610169,23.759205,37,9,0.093109,-1.7356,Flooding
326.6,29.3,327,2,0.530399,-0.494549,Flooding
65.344828,2.019704,66,2,0.586404,-1.010784,Flooding
326.8,0.7,327,1,0.343622,-1.153061,Flooding
32.661017,5.814144,34,4,0.403414,-0.808612,Flooding
163.545455,1.072727,164,1,1.006391,1.073686,Flooding
32.610169,5.828171,33,1,0.531221,1.522912,Flooding
32.59322,5.693746,34,2.5,0.705208,1.567699,Flooding
32.864407,105.601987,44,22,-0.078172,-1.65848,Flooding
32.711864,15.20865,36,7,0.050108,-1.38612,Flooding
32.610169,5.586791,34,3,0.473346,1.542908,Flooding
32.694915,12.974284,35.5,4.5,0.163133,-0.66235,Flooding
32.610169,8.379895,35,5,0.027891,-1.536635,Flooding
32.983051,187.465225,44,24,-0.048211,-1.487732,Flooding
65.310345,2.150246,67,3,0.485054,-1.370317,Flooding
65.344828,1.519704,67,3,0.248175,-1.501061,Flooding
32.677966,9.635885,36,7,-0.194811,-1.719132,Flooding
32.694915,23.112215,37,8,0.109643,-1.137183,Flooding
32.627119,26.20339,35,5,0.29107,0.093622,Flooding
65.275862,2.564039,67,3,0.654888,-1.270311,Flooding
32.59322,32.659264,35,5,-0.215261,0.403627,Flooding
32.694915,25.388077,37,8,0.038252,-1.254323,Flooding
32.677966,3.360023,34,3,-0.244941,-1.39158,Flooding
32.610169,6.172998,34,3,0.200925,0.144275,Flooding
326.6,10.3,327,1,-0.103495,-0.576539,Flooding
32.576271,31.59322,38,11,0.088604,-1.705181,Flooding
326.4,6.3,327,1,0.13151,-0.623961,Flooding
65.241379,3.189655,67,3,-0.140884,-0.873086,Flooding
326.6,0.3,327,1,-0.408248,-1.833333,Flooding
32.610169,6.104033,35,5,-0.126222,-1.401372,Flooding
163.181818,0.963636,164,2,-0.368356,-1.757031,Flooding
32.59322,6.900643,34,3,0.150029,0.26233,Flooding
32.59322,7.659264,34.5,3.5,0.162506,0.149206,Flooding
32.813559,86.843951,44,21.5,-0.07287,-1.297659,Flooding
32.694915,25.491525,36.5,7.5,0.060649,-1.230163,Flooding
32.59322,6.555815,34,3,0.217541,0.351359,Flooding
32.694915,15.698422,36,5.5,-0.385529,-0.537293,Flooding
32.65,16.299153,36,7,0.287099,-0.427813,Flooding
32.813559,118.08533,44,22,-0.155895,-0.959426,Flooding
65.241379,2.046798,67,3,0.385915,-1.332588,Flooding
65.241379,2.832512,67,3,-0.113142,-0.918389,Flooding
32.661017,8.848627,35,6,-0.241654,-1.641362,Flooding
32.677966,18.497954,36,7,-0.13388,-0.98225,Flooding
32.644068,14.440094,34.5,4.5,-0.074166,0.299045,Flooding
65.241379,2.332512,67,3,0.625425,-1.226285,Flooding
32.576271,28.489772,35,5,0.075245,0.743752,Flooding
32.661017,18.538282,36,7,-0.097658,-0.997637,Flooding
32.694915,4.181181,34,4,-0.130919,-1.244851,Flooding
32.661017,7.193454,34,3,-0.147284,-0.706744,Flooding
326,25.5,331,9,-0.065119,-1.653403,Flooding
32.59322,29.969608,37.5,10.5,0.072625,-1.742006,Flooding
325.8,30.2,330,8,0.322551,-1.509791,Flooding
65.241379,1.618227,66,2,0.490517,-1.075565,Flooding
326,0.5,326,0,0,-0.5,Flooding
32.59322,7.417884,35,5,0.026688,-1.178822,Flooding
163.272727,1.418182,164,1.5,0.942293,0.503452,Flooding
32.627119,6.030976,34,3,-0.105249,-0.678078,Flooding
32.610169,6.621274,34,3.5,0.034313,-0.763769,Flooding
32.677966,21.94623,35,6,0.129003,0.992823,Flooding
32.661017,18.400351,36,7,-0.010662,-1.219276,Flooding
32.627119,4.617183,34,3,-0.054987,-0.607044,Flooding
32.711864,23.518995,36,6,-0.138197,-0.359663,Flooding
32.644068,8.888369,34.5,3.5,0.589377,1.615122,Flooding
32.65,180.909322,45,25,-0.022429,-1.456246,Flooding
65.275862,2.492611,66,2,0.864772,-0.519487,Flooding
65.241379,2.118227,67,3,0.561701,-1.267385,Flooding
32.677966,7.739334,35,5.5,-0.206248,-1.632535,Flooding
32.677966,16.049679,36,7,-0.069696,-1.661604,Flooding
32.661017,19.469316,36.5,7.5,-0.079621,-1.090397,Flooding
65.241379,1.832512,67,3,0.167564,-1.546864,Flooding
32.423729,109.59322,44,23,0.026439,-1.702918,Flooding
32.633333,17.015819,37,8,-0.042545,-1.780284,Flooding
32.694915,4.215663,34,4,-0.137693,-1.360495,Flooding
32.661017,12.883109,36,7,-0.142833,-1.602712,Flooding
326.2,13.7,328,3,-0.142873,-0.877857,Flooding
32.576271,21.144944,37,9,-0.016725,-1.774421,Flooding
326.2,13.7,328,3,-0.142873,-0.877857,Flooding
65.241379,1.689655,66,2,0.535069,-1.119442,Flooding
326.2,3.7,327,2,0.39587,-1.005478,Flooding
32.610169,4.241964,34,4,0.032303,-1.262526,Flooding
163.272727,1.618182,164,2,0.689738,-0.187539,Flooding
32.661017,12.296902,36,6.5,-0.135655,-1.55118,Flooding
32.661017,16.26242,37,8,-0.101952,-1.476459,Flooding
32.661017,10.572764,35,5,-0.139652,1.413568,Flooding
32.694915,19.112215,37,8,-0.055726,-1.723786,Flooding
32.661017,12.883109,36,6.5,0.017368,-1.324837,Flooding
32.576271,25.075979,37,8,0.023031,-1.037344,Flooding
32.661017,2.917592,33,2,0.936501,1.653291,Flooding
32.576271,138.972531,42,19.5,-0.007369,-1.034792,Flooding
65.241379,2.403941,67,3,0.700655,-0.618912,Flooding
65.241379,2.689655,66,2,0.939808,-0.543385,Flooding
32.644068,8.0263,35,5,-0.156964,-1.642578,Flooding
32.6,25.328814,37,9,0.000418,-1.670711,Flooding
32.644068,9.474576,35,5,-0.122569,-1.180308,Flooding
65.206897,5.027094,67,3,0.375274,-0.54469,Flooding
32.389831,79.828171,43,20.5,-0.021096,-1.240996,Flooding
32.661017,2.676213,34,3,0.246854,-1.044692,Flooding
32.644068,9.509059,35,5,-0.088612,-1.198834,Flooding
65.241379,1.832512,67,3,0.519208,-1.273386,Flooding
325.8,15.2,326,0,-0.256961,-0.480393,Flooding
32.559322,20.87142,37,9,0.013391,-1.827954,Flooding
325.8,15.2,326,0,-0.256961,-0.480393,Flooding
65.206897,2.027094,66,2,0.762087,-0.791933,Flooding
326.2,0.2,326,0,1.5,0.25,Flooding
32.59322,4.521333,34,4,0.141066,-0.998458,Flooding
163.181818,0.563636,164,1,-0.282678,-1.026535,Flooding
32.644068,11.991818,36,6.5,-0.04592,-1.380676,Flooding
32.661017,14.503799,36,7,-0.059256,-1.449236,Flooding
32.644068,7.302162,35,5,-0.162241,-1.546819,Flooding
32.6,8.142373,35,5,0.087042,-0.694315,Flooding
32.6,27.19322,37.25,9.25,-0.024213,-1.736766,Flooding
32.644068,18.991818,36,7,0.186544,-0.852177,Flooding
32.644068,3.64699,34,3,0.682939,-0.369712,Flooding
32.603448,149.085602,41.5,18,-0.070482,-1.056643,Flooding
65.206897,1.884236,67,3,0.548004,-1.290055,Flooding
32.542373,24.666277,37,9,0.021116,-1.704919,Flooding
32.694915,8.560491,35,5,-0.004091,-1.575259,Flooding
32.610169,24.621274,37,9,0.032534,-1.6648,Flooding
32.694915,7.215663,35,4.5,-0.015506,-1.285852,Flooding
65.241379,5.118227,67,3,0.146952,-0.625534,Flooding
32.677966,11.739334,35,5,-0.039441,3.76556,Flooding
32.711864,2.863822,34,3,0.566887,-0.908693,Flooding
32.677966,6.497954,35,4.5,0.043123,-1.107222,Flooding
65.275862,1.778325,66,2,0.861095,0.124178,Flooding
326.4,1.3,327,1,0.271545,-1.044379,Flooding
32.59322,21.176505,37,9,0.002648,-1.832602,Flooding
326.2,1.2,326,0,0.867528,-0.270833,Flooding
65.310345,2.507389,66,2,1.178794,0.837887,Flooding
326.6,0.8,327,1,0.84375,-0.921875,Flooding
32.644068,3.957335,34,3.5,0.0635,-0.802126,Flooding
163.363636,0.654545,164,1,0.461584,-0.118056,Flooding
32.677966,5.739334,35,4,0.127189,-0.765454,Flooding
32.610169,9.759205,35,5,0.061867,-1.426886,Flooding
32.677966,7.56692,35,5,-0.040957,-1.518658,Flooding
32.644068,7.060783,35,5,-0.012095,-1.441482,Flooding
32.655172,26.861464,37.75,9.75,0.008425,-1.710092,Flooding
32.516667,42.389548,35.25,5.5,-0.152834,-0.136585,Flooding
32.694915,5.42256,34.5,4.5,0.200416,-1.412533,Flooding
32.694915,100.112215,36,7,-0.042808,-0.11405,Flooding
65.310345,2.078818,66,2,0.823885,-0.305857,Flooding
32.627119,23.720631,37,9,0.032826,-1.741074,Flooding
32.661017,10.124489,36,7,-0.140631,-1.668997,Flooding
32.508475,32.66803,37,8.5,-0.013974,0.351471,Flooding
32.661017,15.193454,36,7,-0.245928,-0.561437,Flooding
65.206897,2.812808,67,3,0.545939,-1.255783,Flooding
32.644068,10.164231,35,6,-0.200079,-1.194876,Flooding
32.847458,11.821157,35,4,0.659308,6.403599,Flooding
32.644068,10.129749,35,6,-0.199017,-1.200166,Flooding
65.241379,15.118227,66,2,-0.474832,7.997594,Flooding
325.8,7.2,326,2,0.670139,-0.690394,Flooding
32.542373,37.562829,37,9.5,-0.104263,0.813002,Flooding
325.8,7.7,327,3,0.621635,-0.967532,Flooding
65.206897,13.812808,67,3,-0.841337,8.67661,Flooding
326.4,0.8,326,0,1.5,0.25,Flooding
32.576271,14.800117,35,5,-0.543425,6.945446,Flooding
163.181818,0.563636,164,1,-0.282678,-1.026535,Flooding
32.583333,8.620056,35,5,-0.107335,-0.912633,Flooding
32.566667,14.588701,35,5,0.239208,-0.532185,Flooding
32.644068,10.715956,35,6,-0.167889,-1.264729,Flooding
32.533333,33.134463,37,9,-0.104042,0.533209,Flooding
32.627119,7.927528,34,4,0.301818,0.104736,Flooding
32.603448,73.506655,38.5,12,-0.04018,-1.162093,Flooding
32.644068,4.957335,34,4,0.095598,-1.377187,Flooding
32.661017,12.26242,36,7,-0.180788,-1.594087,Flooding
65.206897,2.384236,67,3,0.595394,-1.120171,Flooding
32.491525,33.874927,37,8.5,-0.077366,0.452859,Flooding
32.610169,5.276447,35,4,-0.022383,-0.687879,Flooding
32.389831,270.241964,50.5,35.5,0.143878,-1.619335,Flooding
32.508475,38.702513,39,13,0.053738,-1.71735,Flooding
65.275862,3.064039,67,3,1.032707,-0.066672,Flooding
32.508475,43.943892,39,13.5,0.061147,-1.641652,Flooding
32.847458,90.821157,43,20,-0.018648,-1.625748,Flooding
32.508475,42.978375,39,13.5,0.05553,-1.729574,Flooding
65.275862,80.421182,70,6,-0.070262,-0.915438,Flooding
326.2,0.2,326,0,1.5,0.25,Flooding
32.338983,279.02104,51,36,0.048176,-1.711855,Flooding
326.4,0.8,327,1,-0.84375,-0.921875,Flooding
65.275862,98.849754,69,5,-0.107516,-0.920051,Flooding
326.2,0.2,326,0,1.5,0.25,Flooding
32.372881,172.444769,45,27.5,-0.026151,-1.587255,Flooding
163.454545,1.672727,164,1,-0.040867,0.275874,Flooding
32.644068,33.095266,37.5,10.5,-0.007369,-1.568208,Flooding
32.644068,23.060783,36,8,-0.001905,-1.210843,Flooding
32.508475,41.978375,39,13.5,0.054744,-1.723021,Flooding
32.644068,19.612507,36,8,-0.171318,-1.14199,Flooding
32.40678,263.935126,50.5,35.5,0.135479,-1.638679,Flooding
32.65,61.587288,39,13,0.030728,-1.323698,Flooding
32.644068,5.957335,34,4,0.261444,-1.129671,Flooding
32.525424,38.805377,39,13,0.042493,-1.752974,Flooding
65.241379,10.046798,67,3,0.281783,6.065557,Flooding
32.40678,271.279953,51,36,0.128435,-1.635666,Flooding
31.721311,5.704372,33,2,-0.828303,1.175491,Flooding
31.409836,277.145902,47,32,0.077929,-1.832495,Flooding
31.622951,54.505464,39,15,0.023115,-1.720443,Flooding
63.466667,13.36092,65,3,-2.449936,8.795829,Flooding
31.606557,77.40929,40,16,-0.015352,-1.650327,Flooding
31.75,64.055085,40,16,-0.039596,-1.709684,Flooding
31.557377,68.75082,39,15,-0.009144,-1.68959,Flooding
63.433333,29.426437,65,4,0.136922,3.814244,Flooding
315,165.5,327,16,-0.262297,-1.236028,Flooding
31.42623,298.348634,49,35,0.059042,-1.902208,Flooding
315,174.5,326,15,-0.346306,-1.115266,Flooding
63.466667,26.671264,65,3,0.060116,3.733592,Flooding
315.6,146.3,324,14,-0.747978,-0.98225,Flooding
31.47541,215.453552,46,29,0.036821,-1.888027,Flooding
158.363636,51.054545,163.5,7,-1.585728,2.013714,Flooding
31.716667,57.528531,39,14.25,-0.055882,-1.498922,Flooding
31.716667,39.15565,37,11,-0.138681,-1.065087,Flooding
31.606557,54.90929,39,14,0.020997,-1.73706,Flooding
31.716667,32.579379,36,9.25,-0.308996,-0.688094,Flooding
31.409836,274.312568,48,33,0.066419,-1.8421,Flooding
31.6,86.108475,37.25,11.25,-0.08038,-0.550326,Flooding
31.754098,8.155191,34,4,-1.070199,2.875254,Flooding
31.622951,54.305464,39,14,-0.026963,-1.624085,Flooding
